Sisig,443,Main Dish
Lechon,433,Main Dish
Adobo,325,Main Dish
Pancit,258,Side Dish
Lumpia,226,Side Dish
Atchara,211,Side Dish
Puto,126,Dessert
Buko Pie,154,Dessert
Pichi Pichi,110,Dessert
